State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
AK,Anchorage Municipality,2020,Medium metro,204.00,3143.00
AK,Bethel Census Area,2050,Noncore,17.00,154.00
AK,Fairbanks North Star Borough,2090,Small metro,47.00,741.00
AK,Kenai Peninsula Borough,2122,Noncore,14.00,501.00
AK,Matanuska-Susitna Borough,2170,Medium metro,47.00,873.00
AL,Autauga County,1001,Medium metro,97.00,794.00
AL,Baldwin County,1003,Small metro,268.00,3656.00
AL,Barbour County,1005,Noncore,41.00,434.00
AL,Bibb County,1007,Large fringe metro,31.00,303.00
AL,Blount County,1009,Large fringe metro,50.00,797.00
AL,Butler County,1013,Noncore,32.00,375.00
AL,Calhoun County,1015,Small metro,306.00,2547.00
AL,Chambers County,1017,Micropolitan,39.00,570.00
AL,Cherokee County,1019,Noncore,17.00,442.00
AL,Chilton County,1021,Large fringe metro,32.00,622.00
AL,Choctaw County,1023,Noncore,16.00,191.00
AL,Clarke County,1025,Noncore,17.00,452.00
AL,Clay County,1027,Noncore,36.00,308.00
AL,Cleburne County,1029,Noncore,15.00,226.00
AL,Coffee County,1031,Micropolitan,87.00,854.00
AL,Colbert County,1033,Small metro,175.00,1150.00
AL,Conecuh County,1035,Noncore,11.00,207.00
AL,Covington County,1039,Noncore,112.00,883.00
AL,Crenshaw County,1041,Noncore,32.00,286.00
AL,Cullman County,1043,Micropolitan,217.00,1816.00
AL,Dale County,1045,Micropolitan,78.00,714.00
AL,Dallas County,1047,Micropolitan,118.00,840.00
AL,DeKalb County,1049,Noncore,111.00,1179.00
AL,Elmore County,1051,Medium metro,59.00,1083.00
AL,Escambia County,1053,Noncore,60.00,662.00
AL,Etowah County,1055,Small metro,391.00,2770.00
AL,Fayette County,1057,Noncore,26.00,256.00
AL,Franklin County,1059,Noncore,30.00,499.00
AL,Geneva County,1061,Small metro,39.00,527.00
AL,Hale County,1065,Small metro,20.00,247.00
AL,Houston County,1069,Small metro,582.00,3395.00
AL,Jackson County,1071,Micropolitan,71.00,1050.00
AL,Jefferson County,1073,Large central metro,2266.00,17697.00
AL,Lamar County,1075,Noncore,12.00,181.00
AL,Lauderdale County,1077,Small metro,279.00,2441.00
AL,Lawrence County,1079,Small metro,27.00,521.00
AL,Lee County,1081,Small metro,317.00,2125.00
AL,Limestone County,1083,Medium metro,122.00,1378.00
AL,Macon County,1087,Noncore,11.00,259.00
AL,Madison County,1089,Medium metro,705.00,7121.00
AL,Marengo County,1091,Noncore,53.00,432.00
AL,Marion County,1093,Noncore,75.00,658.00
AL,Marshall County,1095,Micropolitan,209.00,2048.00
AL,Mobile County,1097,Medium metro,993.00,9086.00
AL,Monroe County,1099,Noncore,22.00,374.00
AL,Montgomery County,1101,Medium metro,922.00,5548.00
AL,Morgan County,1103,Small metro,251.00,2320.00
AL,Pickens County,1107,Small metro,14.00,264.00
AL,Pike County,1109,Micropolitan,68.00,508.00
AL,Randolph County,1111,Noncore,15.00,359.00
AL,Russell County,1113,Medium metro,53.00,669.00
AL,St. Clair County,1115,Large fringe metro,108.00,1330.00
AL,Shelby County,1117,Large fringe metro,181.00,2312.00
AL,Talladega County,1121,Micropolitan,125.00,1470.00
AL,Tallapoosa County,1123,Noncore,111.00,914.00
AL,Tuscaloosa County,1125,Small metro,612.00,4040.00
AL,Walker County,1127,Large fringe metro,201.00,1699.00
AL,Washington County,1129,Noncore,11.00,212.00
AL,Winston County,1133,Noncore,34.00,447.00
AR,Arkansas County,5001,Noncore,11.00,344.00
AR,Ashley County,5003,Noncore,12.00,305.00
AR,Baxter County,5005,Micropolitan,168.00,1506.00
AR,Benton County,5007,Medium metro,470.00,3337.00
AR,Boone County,5009,Micropolitan,77.00,721.00
AR,Bradley County,5011,Noncore,18.00,158.00
AR,Carroll County,5015,Noncore,17.00,346.00
AR,Chicot County,5017,Noncore,23.00,183.00
AR,Clark County,5019,Micropolitan,25.00,354.00
AR,Clay County,5021,Noncore,30.00,293.00
AR,Cleburne County,5023,Noncore,35.00,463.00
AR,Columbia County,5027,Micropolitan,54.00,420.00
AR,Conway County,5029,Noncore,10.00,309.00
AR,Craighead County,5031,Small metro,570.00,3710.00
AR,Crawford County,5033,Medium metro,37.00,736.00
AR,Crittenden County,5035,Large fringe metro,38.00,598.00
AR,Cross County,5037,Noncore,18.00,279.00
AR,Dallas County,5039,Noncore,14.00,150.00
AR,Drew County,5043,Noncore,20.00,336.00
AR,Faulkner County,5045,Medium metro,238.00,1899.00
AR,Franklin County,5047,Noncore,21.00,283.00
AR,Fulton County,5049,Noncore,34.00,277.00
